EN	JA	備考	frequency
fully	完全に		1
func			8
function			49
function-local			1
functionality			2
functions—happen			1
further	さらに、さらなる、それ以上		6
fuse			1
fused			1
fusion	融合		1
garbage-collected			1
general	一般		11
general-purpose	汎用の		1
generally	一般的に		1
generate	生成する		3
generator			1
generic	一般的な、包括的な、総称の		26
get			1
give			3
given	与えられた		45
goroutine			3
grammar	文法		3
graphic			1
greater			3
group			3
grouping			1
grow			1
guarantee	保証する		7
guard			2
half			1
hand			3
handling			3
happen			5
have			58
here			2
hexadecimal	16進数		11
hidden			2
hierarchy	階層		1
high			3
higher-dimensional	より高次元の		1
hint			2
hold	保有する、有効である		9
holder			1
holding			1
horizontal	水平		3
however			4
hypothetical	仮定の		1
identical	同一の(である)		44
identifier	識別子		101
identifierlist			3
identify	同定する、特定する		4
identity	同一性		3
idiomatic			1
ieee			4
ignore	無視する		11
illegal	文法違反		14
illustrate	描写する、示す		1
imag			1
imaginary	虚数の		13
imaginarypart			1
immaterial	重要でない		1
immediately	直後に、直接的に		3
immutable	不変の		1
implement	実装する		30
implementation	実装		18
implementation-defined	実装依存		2
implementation-dependent	実装依存		3
implementation-specific	実装依存/実装固有		3
implicit	暗黙の		8
implicitly	暗黙的に		14
imply			2
import			11
importing			4
importpath			2
importpaths			1
impossible			1
include			16
inclusive	含んでいる		1
incoming			1
increase	増加する、昇順の		2
increment	増加（させる）		2
incur			1
independent			2
independently			1
index			16
indexing			3
indicate	指し示す		1
indication			2
indirection	インダイレクション(※C言語のデリファレンスに相当)		6
indirectly	間接的に		2
indirects			1
indistinguishable	区別できない		1
individual	個々の、それぞれの		8
individually	個々に		4
infer	推論する		10
inference	推論		30
inferrable	推論可能な		2
inferred	推論された		5
infinite	無限の		4
infinity	無限大		3
influence			1
informally	非公式に		1
information			3
inhabit	住む		1
inherit	継承する		1
init			4
initial	初期の		8
initialization	初期化		34
initialization—variable			1
initialize	初期化する		30
initializer	初期化子		2
inner	内側の		6
innermost	最も内側の		4
input			2
insert	挿入する		1
insertion	挿入		1
install			2
instance	実例		24
instantiate	インスタンス化する		15
instantiation	インスタンス化		9
instead			7
instruction	命令		3
int			9
int16			3
int32			4
int64			3
int8			3
integer	整数		98
integertype			3
integral	整数の、積分の		1
integrated	統合された		1
interface			19
interface-valued			1
interface{}			1
intermediate	中間の、中級の		2
internal			1
interpret	解釈する		4
interpretation	解釈		1
interrupt	中断させる		1
intersection	[数学] 積集合、共通部分		5
introduce	導入する		5
introduction	はじめに、導入		1
invalid	不正な		5
inverse	逆にする		1
invocation	呼び出し		6
invoke	呼び出す		14
involve			4
iota	イオータ(ギリシャ語のI)		3
irrelevant	無関係の		1
irrespective	に関係なく		1
issue			1
item			3
iterate	繰り返す、反復する		2
iteration	反復、繰り返し		38
jump			2
just			5
key			41
keyword			3
keywords	予約語		1
kind			3
know			1
known			10
label			16
labeled	ラベル付き		4
labels			1
language	言語		9
larg			1
large			3
larger			3
last			9
later			2
latter	後者		1
launch			1
lead			1
least			12
leave			1
left			18
left-			1
left-hand	左辺		7
left-to-right			4
leftmost	最も左の		1
legal	(文法的に)適格		6
legally			1
len			3
length			41
less			4
letter	文字		12
level			4
lexical	字句的		6
lexically	辞書的に、語彙的に		2
lib/math			3
light-weight			1
limit			2
limited			1
line			5
linguistic	言語上の		1
link			2
list	リスト、列挙する		78
listing			2
literal			34
literally	文字通りに		1
literaltype			2
ll			1
lm			1
lo			1
local			3
location			2
logical	論理の、論理的		6
long			3
look			3
loop			5
loosely			3
lose			1
low			1
low-level			1
lower	下方の、小文字の		1
lower-case	小文字		2
lt			3
lu			4
lu.			1
m.sin			1
main			3
make			9
manage			1
management	管理		1
manipulate	操作する		1
mantissa	仮数（浮動小数点の小数部）		3
manual	マニュアル、手動		1
manually			1
map			6
mark			4
marker			1
marking			1
mask	マスク、隠す		2
match	一致する、マッチさせる		12
matching			2
math.sin			1
matter			1
maximum			2
mean			1
meaning			2
measure			1
mechanism	仕組み、機構		3
member			1
memory			4
meta-)type			1
method			33
mind			1
minimal			1
minimum	最小の		1
miss	欠ける		1
missing	欠けている、存在しない		8
mix			1
modify			1
modulo			1
moment			2
more			19
moreover	その上		1
most			11
multi-byte			1
multi-character			1
multi-dimensional			1
multi-valued	多値の		6
multi-variable	多値		1
multi-way	多分岐		1
multiple	複数の		13
multiplication	乗算		1
multiply	掛け算する		2
n			1
n-bit			1
n't		バグ?	5
n]e		バグ?	1
n]t		バグ?	2
name			38
nan			1
nd			1
near			1
necessary			4
negation	否定		2
negative	負の		11
nested	入れ子		2
never			12
new			29
newline	改行		9
next			10
nil			3
nn			1
nnn			1
no-op			1
non-			1
non-blank	"_" でない		13
non-complex	複素数でない（実数の）		1
non-composite			1
non-constant	非定数		16
non-decimal			1
non-empty			9
non-exported			2
non-generic			2
non-interface			16
non-negative	非負		9
non-terminal	非終端記号		1
non-type			1
non-variadic			1
normal			1
normally			2
not			2
not-a-number			1
notation	記法		3
note			3
nothing			1
nth	N番目の		4
nul			1
number			42
numbered			2
numeric	数の、数値の		22
object			1
obtain	得る		2
occupy	占める		1
occur	起こる、発生する		10
occurs	起こる、発生する		6
octal	8進数の		4
offset			1
omit	省略する		16
once			10
one-dimensional	1次元の		2
only			3
op			4
opening			2
operand	被演算子		76
operate	働く、作動する		1
operation	演算、操作		49
operator	演算子		49
oppose	反対する、対置する		1
optimize	最適化する		1
option			3
optional	必須でない		7
optionally			4
or			3
order	順序		35
ordering			1
ordinary			10
organization			1
original			2
originally			1
other			47
otherwise	さもなければ		33
overflow			9
overlap	重なる/重なり		1
override			1
overwrite			1
own			1
package			11
package-level			4
packagename			5
pair			8
pairs			1
pairwise			2
panic			9
panicking			2
parameter	仮引数		179
parenthesis	丸かっこ		4
parenthesize	丸かっこで囲う		12
parse	構文解析する		3
parsing	構文解析の		2
part			26
partial			3
partially			2
particular			3
pass			10
passing			1
path			1
perform			2
period			1
permissible			2
permit	許す		8
phase	段階		12
place			5
placeholder			1
plain			1
point			30
pointer			4
pointer-receiver			2
portability	移植性		1
portable			1
position			1
possible			6
possibly	ことによると、可能性としてあり得ることに		26
post			4
power	累乗		1
pre-go1.18			1
precede	先行する		6
precedence	優先順位		6
precise	正確な		2
precisely	正確に		4
precision	精度		16
predeclared	事前宣言された		28
predeclares	事前宣言する		1
prefix	接頭辞		8
present	在る、現在の		20
prevent	防ぐ		1
previous	前の		6
previously	前に、以前に		2
primary	主要な、初等の、第一の		7
prime			1
print			5
printing			1
println			2
proceed	進む		18
process			8
produce	産出する		9
product	[数学] 積		2
production	生成規則		4
production_name			2
program			18
program-defined			1
programming	プログラミング		5
promote	昇格する		6
property	特徴、性質		3
prose	文		1
protect	守る		1
provide	与える		22
pseudo-random	疑似ランダム		1
punctuation	句読点		4
purpose			3
qualified	修飾された		5
qualifier			1
qualify	修飾する		3
queue	キュー		2
quite			1
quote			17
quotient			3
radix	基数		2
raise			1
range	範囲		34
rare	まれ		2
rather			5
raw	生の		5
re-use			1
re-used			2
reach			4
reachable	到達可能		1
read			1
readability	可読性		2
ready			6
real			7
receife			3
receive			22
receive-only			1
received			7
receiver			1
recent			1
record			1
recover			1
recursively	再帰的に		2
recvexpr			2
recvstmt			3
redeclaration	再宣言		2
redeclare	再宣言する		1
redeclared			1
refer	参照する		16
reference	参照		10
reflect			1
reflection	リフレクション、反映		1
regardless	〜に関わらず		2
regular	普通の、正規の		7
related			1
relation			1
relationship			2
relative	相対的		3
release			1
relevant	関係する		1
rely			2
remain			7
remainder	余り		4
remove			5
repeat			1
repeated			2
repeatedly			1
repetition	繰り返し		4
replace			7
replacement			2
report			3
reporting			2
repository			1
represent			51
representability			1
representable	表現可能		17
representation	表現		8
representative	 代表的な, 典型的な		4
reproducible	再現可能		1
require			9
requirement			2
reserf			1
reserve	予約する		1
resolve	解決する		2
respective	それぞれの		18
respectively	それぞれ		9
restrict	制限する		4
restriction	制限		12
result	結果、戻り値		80
resume	再開する		1
retrieve	取り出す		2
return			28
reverse			1
reviewer			1
rewrite			1
right			13
right-hand	右辺		6
right-hand-side	右辺		1
room	余地		1
round			7
round-to-even	偶数への丸め、偶数丸め		1
rounding			5
rule			21
run			18
run-time	実行時の(に)		33
rune	ルーン(神秘文字)		24
running			1
safety			1
satisfied	満たされる、満足させられる		2
satisfy	満たす、満足させる		4
save			3
say			3
scale	規模を変更する		2
scope		訳さない	1
scoped			2
scoping			1
second			14
section	節		15
see			13
segment	切片		1
select			19
selection	選択		1
selector			17
semantically	意味論的に		1
semicolon			8
send			27
sender	送信者		1
sent			1
separate	分割する		3
sequence	連なり、並び		22
sequential	連続して起こる		1
sequentially			1
series			1
serve	働く、用をなす		3
set	セットする、集合		118
several			4
shallowest			2
share			5
shift			7
short			13
shorthand	簡略表現		9
shortvardecl			1
show			1
side			13
side-effect	副作用		1
sieve	 篩(ふるい)		1
sign	符号		15
signature	シグネチャ		11
significantly	著しく		1
similar	似ている、同様の		3
similarly	同様に		5
simpl			2
simple			9
simplicity	単純さ、簡単さ		1
simplify			1
sin			2
single	単一の		40
single-character			1
single-valued	単一値		4
site			1
size			20
skip			4
skips			1
slice	スライス/スライスする		16
sliced	スライスされた		5
slightly	わずかに		1
snippet	断片		1
so			11
solely	単に/単独で		1
sometimes			1
soon			2
source	元の		28
space			9
speak			3
spec			1
special			15
specially			1
specific	特定の		35
specifically	特に		2
specification	仕様、仕様書		8
specify	特定する、指定する、規定する		48
spell			1
square			3
src			2
stand			4
standard			5
start			16
state			3
statement	文		146
static	静的な		4
stay			1
step			14
stepwise			1
still			5
stop			6
storage	保存場所、保管スペース		8
store			8
stream			1
string			10
strong			1
strongly			1
struct	構造、構造体		45
structurally			1
structure			5
structured			2
subexpression			1
subsequent	その後の、(順序が)次の		1
subset	部分集合		1
substitute	置き換える		4
substitution	置き換え		19
substring	部分文字列		3
subtype			1
succeed	後続する/成功する		7
successful			3
successive	連続した		9
such			30
sufficient			1
sufficiently	十分に		1
sum			2
support			7
suppose			1
surrogate			1
surrounding	取り囲んでいる		7
survive	生存する		1
switch			4
synchronization	同期処理		1
syntactically	文法的に、統語論的に		1
syntax	文法		4
system			4
tab			2
table			1
tabs			1
tag			8
take	とる		17
taking			3
target			2
temporary	一時的な		3
term	項、用語		27
terminate	終了させる		12
terminating	終端		8
termination	終端		1
terminator	終端子		1
test			1
text			12
textual	テキスト上の		1
that			1
then			18
there			52
therefore			4
thread	スレッド		1
three-digit			1
thus	それゆえに、従って、		9
time			21
together			7
token	トークン		15
tokens			2
too			1
tool			3
top			1
top-level	トップレベルの、最上位の		1
top-to-bottom	上から下へ		1
track	を追跡する		1
trailing	末尾の		1
transfer			2
transitively			2
traverse	走査する		1
treat	取り扱う		3
trigger	引き起こす		3
truncate	切り捨てる		4
truncation	切り捨て		1
truth			2
tuple	タプル(複合型)		1
turn			2
twice	2回		1
two-digit			1
type			168
type-specific			1
typed	型あり、型付けされた		8
typename			2
types—array			1
types—may			1
typespec			2
typeswitchcase			1
typeswitchguard			3
typically	一般的に、典型的に		1
uint		訳不要	3
uint16		訳不要	3
uint32		訳不要	3
uint64		訳不要	3
uint8		訳不要	4
uintptr		訳不要	5
unable			3
unary	単項の		4
unbuffered			3
unchanged			2
underlie	裏に潜む、背後にある		1
underlying	裏に潜んだ、背後の		40
underscore			7
unescaped	エスケープされていない		2
unification			16
uniform	一様に		1
unify			6
unifying			5
unimported			1
uninitialized	未初期化の		9
uninterpreted			2
union			11
unique	一意		12
uniqueness	一意性		1
unit	単位		1
universe	全宇宙		3
unknown	未知の、不明の		1
unlikely	ありそうにない、起こりそうにない		1
unnamed			1
unordered	順序付けられていない		1
unparenthesized			1
unqualified	修飾されていない		2
unresolved	未解決の		1
unsafe			1
unsigned	符号なし		13
unspecified	特定されていない		2
untyped	型なしの		64
updated			1
upper	上方の、大文字の		4
use			83
useful	便利な		1
usual			6
usually			1
utf-8			6
valid	有効な、正しい		15
value			124
value-receiver		訳不要	1
var			2
variable	変数、ストレージ		151
variadic	可変長引数を伴う		4
variant	変異体		1
various	さまざまな		4
varspec			1
vary			3
verify	を確かめる		1
versa	[ラテン語] 逆のこと		3
version			1
vertical	垂直の		1
vet	を審査する		1
vice	[ラテン語] 成り立つ		3
violate	違反する		1
visible			2
vocabulary	語彙		1
wait			2
way			4
well			2
white			1
wide			1
width	幅		1
wish			1
word			3
work			1
wrap			1
write		訳不要	3
x--		訳不要	1
x.f		訳不要	1
xor		訳不要	1
yet			7
yield	産出する、出力する		27
zero			1
zero-size			2
FALSE			3
TRUE			6
